name,shape,nbits,ours_bit_density,bonsai_bit_density,ours_zero_scale_frac,bonsai_zero_scale_frac,ours_scale_mean,ours_scale_std,bonsai_scale_mean,bonsai_scale_std,ours_all0_group_frac,ours_all1_group_frac,bonsai_all0_group_frac,bonsai_all1_group_frac,fp16_weight_std,ours_deq_std,bonsai_deq_std,ours_rel_l2,bonsai_rel_l2,ours_cos_fp16,bonsai_cos_fp16
model.layers.8.self_attn.q_proj,2048x2048,4194304,0.5018653869628906,0.5004332065582275,0.0,0.0,0.17651785910129547,0.0666990578174591,0.08180775493383408,0.01895066723227501,0.0,0.0,0.0,0.0,0.03423719108104706,0.09067848324775696,0.041986990720033646,2.0097312927246094,1.109113335609436,0.7505598068237305,0.5193503499031067
model.layers.8.self_attn.v_proj,1024x2048,2097152,0.5000848770141602,0.5003304481506348,0.0,0.0,0.1861201524734497,0.026368828490376472,0.13777631521224976,0.012062592431902885,0.0,0.0,0.0,0.0,0.03497625142335892,0.09176849573850632,0.06915166229009628,1.9668723344802856,1.6020938158035278,0.7652081847190857,0.5923398733139038
model.layers.9.mlp.down_proj,2048x6144,12582912,0.5004717111587524,0.4999133050441742,0.0,0.0,0.17737826704978943,0.03417230024933815,0.10395835340023041,0.013203982263803482,0.0,0.0,0.0,0.0,0.032640036195516586,0.08719328045845032,0.05239676311612129,2.0278749465942383,1.3346656560897827,0.7531530857086182,0.5592837929725647
model.layers.9.mlp.gate_proj,6144x2048,12582912,0.5006257891654968,0.500257670879364,0.0,0.0,0.1978536695241928,0.048663198947906494,0.13964888453483582,0.0218815915286541,0.0,0.0,0.0,0.0,0.038135603070259094,0.09913550317287445,0.07067638635635376,1.9404984712600708,1.614593267440796,0.7678521871566772,0.4931168854236603
model.layers.9.mlp.up_proj,6144x2048,12582912,0.5002902746200562,0.4998149275779724,0.0,0.0,0.1805427521467209,0.03138882294297218,0.1562892496585846,0.018642108887434006,0.0,0.0,0.0,0.0,0.034155137836933136,0.08919151872396469,0.07869856059551239,1.9536266326904297,2.0072989463806152,0.7663748860359192,0.4947288930416107
model.layers.9.self_attn.k_proj,1024x2048,2097152,0.5003185272216797,0.5003161430358887,0.0,0.0,0.16965587437152863,0.06670771539211273,0.08276829868555069,0.01648692414164543,0.0,0.0,0.0,0.0,0.0320558026432991,0.0867174044251442,0.04219718277454376,2.086080551147461,1.1999608278274536,0.7331036329269409,0.49109184741973877
model.layers.9.self_attn.o_proj,2048x2048,4194304,0.499309778213501,0.500298261642456,0.0,0.0,0.1629955768585205,0.05230293422937393,0.10949940979480743,0.040040526539087296,0.0,0.0,0.0,0.0,0.03227844461798668,0.08361858129501343,0.05829528346657753,1.928105354309082,1.4604496955871582,0.770747184753418,0.5893559455871582
model.layers.9.self_attn.q_proj,2048x2048,4194304,0.5012938976287842,0.5001938343048096,0.0,0.0,0.17919644713401794,0.06624764204025269,0.08035961538553238,0.022069858387112617,0.0,0.0,0.0,0.0,0.03471892327070236,0.09177082031965256,0.04166756942868233,2.0043585300445557,1.1054155826568604,0.7508452534675598,0.5076043009757996
model.layers.9.self_attn.v_proj,1024x2048,2097152,0.4998044967651367,0.4997520446777344,0.0,0.0,0.18486587703227997,0.038677047938108444,0.1396642029285431,0.016241149976849556,0.0,0.0,0.0,0.0,0.03425773233175278,0.09151536971330643,0.07030267268419266,2.030834913253784,1.659934401512146,0.7509185075759888,0.5983954071998596
model.layers.10.mlp.down_proj,2048x6144,12582912,0.500481367111206,0.5001263618469238,0.0,0.0,0.1801421344280243,0.039818450808525085,0.1037900447845459,0.016402263194322586,0.0,0.0,0.0,0.0,0.03236304223537445,0.08774357289075851,0.052539046853780746,2.083064317703247,1.362623929977417,0.7398132681846619,0.5478450059890747
